path	label	pcaFeaturesString
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_104_100.jpg	Apple Braeburn	0.23450942413051912,-0.6436073255475485,2.048009702939002,-3.643506318034266,4.913815209277622,25.09250208292203,-25.528879799879046,33.906031220246206,-105.32272345340843,88.5375298940561,-15.002263444872925,78.90907048585812,46.68377608144461,-45.50446213881111,-52.4144614704945,80.88228463880719,56.467855216872316,14.705471673447322,23.944393190255827,-2.8829808486323767,-23.26167196695829,27.57335763935508,29.201534021084104,-82.12836090620446,-86.63946305986148,-122.7670443032764,105.98979098091591,44.24512429115312,12.266699135951834,-14.467508052957243,24.37058739007232,24.89083744175677,1.893719435721758,-2.333384996325105,-8.739025858112537,5.871157693659652,-4.947778028682344,-8.337831095852408,-11.144969181484718,-1.3728765091413757,-15.23613981593212,-26.216379031915437,-19.97993312007453,-18.409786080800238,113.05190224005588,-3.80650552206437,24.42509114999469,-3.5032311259481355,-8.151901315378748,25.756615979268656
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_101_100.jpg	Apple Braeburn	0.20203131476192263,-0.39580382373186973,2.2315583132274894,-3.54560646677471,4.857692431463132,24.968421526485926,-19.82552512896088,32.29876812400837,-103.43545070122008,89.72233742550462,-5.468884715849055,79.21549125026439,46.78166149829445,-61.070617132784506,-51.11657252612404,59.89725857691342,23.277105038955504,21.38964119370646,48.95772461313686,-18.89169062503564,6.640509703045479,39.211962060936976,27.403449675679262,-108.76077324626159,-134.06328753697662,-195.71507121113487,162.47132860823416,46.93513146581236,36.19463346240365,-27.469721615615022,50.886718954861,34.93905482515664,-19.036280999274346,0.1279376197771537,94.92588231501622,-10.542395430785819,1.9571505304970866,21.26574357621748,-23.727825102436668,-10.95365941507868,-23.408497344939043,39.06501383515998,30.47192673905778,-50.175207759428496,-121.38017614444199,-24.39942311109831,-16.821968234922913,16.47761455441645,24.34636448359553,-37.60469092156147
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_172_100.jpg	Apple Pink Lady	0.021293383226159528,-0.5101873823180327,-5.082059814948322,-7.0112653881277085,-12.918749485290304,-40.18603909944824,-14.54970782338804,-65.99589802678393,218.32378035994242,-41.65435097201371,-8.369852029640876,15.603619300095758,2.183799854905471,110.14672014074719,-14.038352775959174,10.758200032705137,8.293055349167268,-4.93973237292395,54.80675602872043,29.083237790887342,26.268306651083876,8.83924688450774,-37.90859000674155,-15.6951997753128,96.20976589841138,36.45013770366139,49.889790578877424,-1.7888122051862185,174.19508615723922,-38.121075314056306,-21.09433553407219,33.69402992829079,11.345168974724427,-13.500184768340377,-8.941379554276677,-6.348092792514283,30.005632227713644,-11.548742908723453,20.062701614484602,-5.779770529902331,-15.565021408506883,17.52646032139566,9.998510422041027,-15.97770760164563,1.2501209997986817,-6.341694827835677,8.55369653985372,13.811908429262816,1.5680646515759913,3.7883335105686267
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_269_100.jpg	Apple Braeburn	-0.057340142314397,-0.23563236508487903,0.260812682106195,7.167995432163855,0.6714805738490012,0.39430907731199716,16.682776890485318,22.33668176817089,-65.1694330050413,-69.31169807781099,-10.50179946907076,-50.55742263136462,-69.77530679602643,-22.673798123860497,-156.03056729653238,39.32526625080484,-78.6308352759926,78.43315512193955,145.38183214843855,15.69424762060306,-60.987378596824065,85.99578277998783,2.41599540273188,-106.40899590683787,11.315222398542879,-2.2965577471556626,-19.952359687918285,-56.044533986887615,-21.609093799113545,0.57100795543187,-14.315189549784494,-31.54678003862114,-24.95113809559384,-3.805011113926875,14.09818463493937,-0.5742675332553925,-76.3175889177778,-175.53830968945255,53.622257113770495,-15.647274435463075,85.35068335924751,110.00976625486052,-85.97527419930675,-45.150727978604706,-8.943531958795779,14.525214739776848,17.47089692301045,27.964599614824852,-27.005806774489475,-3.8439635187756434
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_149_100.jpg	Apple Pink Lady	0.33513042167932544,-3.657316562375288,1.7597957593779758,-55.95066546716501,32.99993170604663,-1031.8170400746908,-418.5176178382549,0.17427437443039423,-27.8646412164893,-87.77398005686872,338.1037470003181,167.14730357436588,-68.67585527168416,183.2555280079909,-250.01317378432725,-274.02527210938683,167.54987275717485,121.45639670071938,-32.43186717963118,14.40817133224171,8.85616711206002,-32.597276562727444,17.091169285182186,5.106122916998902,206.81978996797727,-146.12330287360234,33.09307092713974,2.31185182198105,-50.95043879153544,14.540959533374975,-44.73736330379015,30.308680767817684,-7.670206827506023,4.651491127052035,-40.23041314102692,-18.052817494251165,-186.8425080654923,96.81303762924227,57.15789315937465,-16.879657496016907,-6.58022564055289,39.80927226711595,19.474059005036537,-23.315396812834315,-0.6172549248984226,1.9769983056689289,7.481942534620465,-1.1873719414220494,12.897747534322642,4.236470712215779
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_161_100.jpg	Apple Pink Lady	0.08882002994353315,-1.1496562433789885,-4.114126937416708,-11.032545897176925,-5.918322930922657,-102.00495340862773,-32.17922897079052,-71.46458290299023,259.9356151427772,-15.46207490093628,-154.34380239077046,1.547128140830265,51.84270570683381,286.56542648214764,-121.14582198694839,-87.52506309536875,67.15229160054447,255.4614142585961,-186.99823943019857,-234.79596954413523,-76.44727737486754,81.71703999595603,-25.091380781212987,17.732470277820344,205.59704078141198,-188.16492594026832,9.986600533767794,25.132369278111582,-121.33589897901889,38.64957954238408,-36.15506075658099,-0.9745864059624695,-3.6908452191320023,2.3098316042344043,1.0224190952886865,-10.813144822184473,54.046029975136996,-18.974509594838658,22.045419451706323,0.1858413069479073,-16.20388665810785,18.667648825198388,17.110297650000827,-22.046062747749655,3.6317698149194806,4.360043694394486,3.4170751974792983,15.342762722081844,5.880322295184514,2.1019646316426583
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_179_100.jpg	Apple Pink Lady	-0.29855223358739436,-1.5302329493314535,-2.9232933116428783,-15.873786358642318,-35.635287403580016,12.675306118054399,-156.25905101685936,-146.58566380459044,315.9314085467971,-110.72586086009106,127.47402182458733,0.6535152927270372,41.147841766477605,-135.09167883657452,-37.64932126702266,34.35008651297547,-61.179654543924364,162.52083546259394,-27.17124969816458,78.49307059542129,-41.14606368827341,-130.5766099220085,-270.501859774106,-79.57361764521097,47.87625684223139,1.0841361576902153,60.824510066089324,40.86654609646619,124.46091343532818,-146.1956277290021,-25.4530127594079,37.600753493073746,5.408797131379438,-39.77580155072844,-37.615263788492676,-3.2600672956718078,38.96090756830955,-24.4360709556478,23.622459121298675,-12.764912081370712,-14.456664979383918,38.64962801036898,49.59026468135877,33.45430207629723,27.888751578256183,-67.58958790914872,44.17627349155949,109.58921445900248,-0.5192523040854145,12.66416094590213
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_165_100.jpg	Apple Pink Lady	0.1138518484430303,-0.7876846723954812,-4.4685695014440485,-6.642311385258423,-9.139141017765068,-51.510739138326876,-15.02911484965055,-61.37190059192871,213.4647424175613,-36.28684891269965,-52.530091227611315,-1.5318291108593538,7.787239166438504,155.04880994847454,-17.041560532408123,22.632822868632495,17.37222224501316,24.32173085951207,6.583456024885553,23.133917013981282,20.99550156325291,-6.11179610570305,-19.823913249335586,9.19652722560363,71.22351810217653,19.992187172613846,52.68203865953206,-0.13109137503268964,35.113522798407764,-18.65063056418391,-13.839348730894626,16.25422251818548,7.379083897494747,-3.625001936208133,-15.709717481834792,16.93647995356403,-28.735033465486776,19.002693762253774,-9.722084661535987,27.503909655457843,12.541820525323251,-60.89948932631887,-81.43624358835261,-18.558844303248822,-38.53564245653162,-38.972169369396696,-1.850134887704879,-20.582546883699308,0.7099774422777252,0.979094761125524
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_189_100.jpg	Apple Braeburn	0.05066501928221298,-0.5919245799345143,2.9056682833304004,1.564187687850312,7.084034055610769,11.112101419663736,10.762602057388325,35.37305726099013,-116.02185138358337,35.36451450158903,-11.757514601389552,12.46597835486768,7.221712981181535,-49.395518178380556,-86.74059230854199,-6.1656077774302025,-132.63110281561245,59.34961276596805,63.39941166385183,-27.982673514527523,34.03470436272984,13.297331129090834,12.056919245145028,-17.461712409638544,3.360395863211473,4.396535956050301,-0.055239237371126175,48.86455128924136,10.416092389759868,22.67134102073344,-90.15985893606435,-69.44664203295393,-25.14112503758302,8.640407441755313,-6.989917852279663,20.98769838831083,-4.868436706361204,-0.6539825955829908,10.344221735379055,4.271672503947199,-25.778015243139123,-3.326873494781312,-7.657716854567844,-65.59403934091999,22.140793724486073,-32.527019530829094,25.151042017226903,16.326517048287688,9.720748419618523,-37.363299496467846
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_152_100.jpg	Apple Pink Lady	0.8360802126714995,-5.921837783503192,8.21259906450557,-86.66929345201201,70.09425142476648,-1629.6898258594417,-659.1488565303242,29.469982586454627,-127.03772332857065,-117.13500248811371,487.86632945642225,120.3657821396088,-30.951895707358915,290.5266211551274,-83.45796874991095,-32.78861237051555,40.81183338270074,149.08196057785756,-63.330271177726665,-51.158288176786854,-17.732088958249655,8.866208756629561,25.88054694449531,-25.206051340820625,-66.51926095769754,40.706619248238844,-8.558890368886168,14.674806469306725,23.24518571657125,0.2733387128046331,2.32175098892786,-4.173834314877666,2.6690179796676676,8.2763122477484,-29.168851017603206,-5.13293247274927,-133.67611005484227,63.75392426569937,49.52248398536931,-16.701968979566985,-14.23167062184463,26.52664647702133,22.806398808899548,-12.064641206820902,-0.25942882413253276,-13.29201658710568,11.932265762097245,-2.1836039545171615,0.18773900112682754,4.34937047764154
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_109_100.jpg	Apple Braeburn	0.26778105353094483,-0.9907522970167922,2.544419515537408,-4.698391110677043,7.0174788278479046,26.50866427059788,-21.757243015725106,43.42069440206045,-132.7878162506809,146.97459037439256,-22.33824192662888,161.19491766294692,122.98809829123816,-97.90412938042626,-133.9591691544431,342.63661477488836,351.7685547618261,144.8849233826103,41.650329899188925,0.16735328847977748,64.7261589710321,-22.381291903620113,-22.575183326870558,59.50339578515721,64.82922201877695,95.58115498128767,-79.18820785896345,1.1589155424777475,-13.561625118347465,18.641432344871163,-40.9294562277422,-23.00460558907799,8.349730305045863,8.861478936833496,-62.639409115646274,13.333048179960388,18.64592306794222,-1.755096602361323,18.7639536221031,-4.751194146032086,-0.2550058343652716,21.598424044617637,22.20972645597606,2.8093819220434235,-56.32701807834286,-6.50752712466518,2.0379410151365884,11.425163220164457,16.630832060185995,-90.99121023380614
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_279_100.jpg	Apple Braeburn	-0.07762644969961223,-0.2245137238098416,-0.06570595464199838,5.586285184945504,0.0027790248908588517,-1.5537656967629223,13.780284743756896,16.652747255120605,-44.91220886307356,-74.66090457807077,-11.774094502287475,-52.79046875459231,-71.66927270005452,-2.890299785127724,-166.14096620128242,47.60232517508713,-64.46228911424218,75.55299404111202,169.1583968986637,30.03511599685899,-123.69112452398419,106.23105824335477,3.3050353819359244,-160.01995886648746,24.442468949534558,30.720349163154857,-46.785284569581385,-85.97809859966769,-42.33581551580226,0.43075045544019797,0.017637280506621233,28.081998624817654,25.03514431869337,-20.08695846443671,-18.44250114596051,6.5134968523329615,32.67004508924257,50.536355191254124,8.874377176864204,6.205646799084219,-24.49159249020391,-8.169568037568462,13.479907702809829,-17.604169155554576,-3.9950461339607832,-6.8217939855428265,5.459054686904968,2.5149097078291343,8.238298504878413,3.222955394998276
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_275_100.jpg	Apple Braeburn	-0.07308841043396214,-0.3123428375163091,-0.0033061473426822243,6.295596131118845,0.06519383692148126,-0.31645440231834937,15.559559166031024,20.10265043680357,-56.06025721591253,-74.11194908246298,-11.166442577206286,-54.64681242640765,-76.30949011868877,-13.259801471394745,-179.2490707844328,49.67836164775008,-77.45475096714281,84.47951444672998,181.8561155987293,27.411771162303893,-116.79818305441795,116.40200199428097,2.315498646306944,-172.73111518657797,24.99023722154097,22.95356019726155,-47.965630314248784,-104.55929253872806,-47.160931410718455,-1.4305992619240548,-3.0250557920263437,18.127298893039637,12.904287865943958,-28.069304367121187,-8.140392682973356,7.759526290268148,2.0203344058104293,-4.968826401450722,18.328611658299383,-2.606143782658277,6.286478443685572,28.196158999692503,-18.518771220733306,-27.60617945082678,-7.737171377542804,4.919849641295647,13.883377666446297,10.67276205651336,1.1181152289555123,2.902581936250608
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_292_100.jpg	Apple Braeburn	0.02177081623972819,-0.6137939925418655,1.93359046691483,14.093593972127982,3.9271338824065314,2.4817133030308267,23.714288377697958,14.980529484797923,-31.20555710440691,-148.89319426687868,-3.735343161069757,-96.59753791205857,-73.13566941448744,17.55608370859441,-113.30463622755242,52.55438744599295,7.923513317532938,-13.18160441848896,26.739717483716323,12.770915119188981,-79.53699471519347,-4.142415388416861,-2.358516108313969,42.87326567659072,2.275875065236242,13.424396821616794,-2.185750706906706,70.94474467960669,6.483334241132768,11.028599843877593,-2.473014402844227,3.7437672834382707,-1.3376627637688114,2.007124895752659,7.649182928852774,-12.264427736375163,12.306619839316363,2.675042651428277,25.024256111626766,3.0221844434896603,3.739117271938803,-12.958958580680944,33.49695628128344,-38.582393298071224,3.047056722002512,-19.543445885202004,-46.664414225899634,-2.213101726856295,-50.64754529494094,-5.30128396375855
