path	label	pcaFeaturesString
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_102_100.jpg	Apple Braeburn	0.286092752174115,-0.943593093551817,3.0120119079714684,-4.253570239129611,7.283865983115506,27.406217308113128,-17.90694698476117,47.400645256969426,-148.09272374601647,147.82322372113467,-18.225183852305538,165.26930114624767,117.24839340359043,-117.50216613945499,-160.5574466453742,330.27355706599445,302.1202082888574,167.07262727518554,85.06540379640313,-28.90909815394063,110.42829636557109,-8.790784178186124,-18.767621670387907,20.266514835478993,2.5833247605304317,0.06555300975591637,-0.6967159072434298,2.0738641476737643,-1.230873703794209,3.1382970635112732,21.615331461264375,6.423709259859529,-2.011574990700736,1.2206106757401578,74.90722279027479,-17.532128268192174,0.6287387299666656,3.267833469565739,34.4143929766587,17.83497775902652,-20.26863207959746,-9.173335978597356,-15.376145880553961,-44.75775373334059,39.33218604216973,-5.1055540483638495,6.383827267273083,-0.47105655244905364,-6.608371759224818,104.60339342700331
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_159_100.jpg	Apple Pink Lady	0.014531473775851437,-0.8674321450937782,-6.252219968100704,-10.925526916355436,-12.336120556694594,-70.3971645640973,-22.652790697676195,-72.67056502409267,246.9072013770797,-7.299668780197675,-117.26651355986404,35.36484327474664,13.743078939920984,247.18746075415163,-55.60249333662428,23.424842882223505,-36.32003898674576,160.34498167399127,24.296436516063622,342.5580021379863,80.41786710463589,-115.15327892215625,134.0592522865642,-21.436424962384912,-74.48912425505708,-171.14490652398203,-243.3867645260931,55.81544793542381,31.47152307449264,-1.083397977554724,-8.622815137273129,0.16671125446699975,0.2813213184703373,-6.59995824043856,-4.227781585323681,6.548204607690791,24.607584927956275,-8.15493089464029,14.600282769197403,3.379842628482054,-13.252492928790641,5.808194784357442,4.724721131765529,-22.359047889127666,-3.001763499521245,-4.730605304234353,6.422801133767827,6.065285486857139,2.355826578769205,2.989490117840182
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_303_100.jpg	Apple Pink Lady	-3264.5135025082927,-108.68157641138194,-8469.599036361138,87.36322406216017,-71.40661757843813,-53.291482896451846,-113.98313924435789,-3.4911136972095713,9.9708917178829,-72.61181458930392,-11.92857675057779,-25.55452823635099,-25.354016530814857,-4.399572462846798,-11.007505884101574,22.809394204470838,21.020182665713413,23.90034724885251,11.109932424428786,0.3236464697784108,0.4578092196281879,6.243845948040654,6.9899852460673095,-10.127195870404394,-3.0483021868825033,-1.0197799732899535,-0.8803406725587908,13.364903280140924,-3.2517240907569938,5.510371523324811,-8.595208050414106,-2.874372443964282,2.4083481797145367,2.3924917517692785,-7.816550493069518,1.6661147496027704,6.748614311105086,-1.8706596805182671,18.33929826861243,3.906162062841322,-10.156587679017987,5.252813051603848,2.524148158489779,-20.15879350142414,-3.722884662870998,-5.791845555874872,5.480293435612356,5.549289049990275,4.597482971566864,2.311713007469916
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_254_100.jpg	Apple Braeburn	0.06546944881936805,-0.4358883649249021,2.4653269493947496,7.413556681642831,5.917758262379477,3.7499667810606367,18.302297947066698,27.11735008166666,-82.82048175814113,-58.37195423949476,-1.1108779968267484,-70.84097256451325,-55.37956209895587,-26.35249112945172,-78.47284821441657,24.634064618326484,-49.615977249933394,57.33838635680575,72.52112535949145,-21.34309053236412,-4.178254264138095,2.7655994000137594,20.536914217054548,-24.057042821794756,-6.159491263210865,-23.73650795857555,6.599985037917886,-1.3555507329200338,4.356291205094918,7.155187917617592,-83.60204664173784,-19.121682243833003,-6.887019728553652,-0.7542659882907794,-3.3921687860697753,-5.858742343551941,-83.17759090781,-155.6424412319742,49.58221841975306,41.13888904970534,-112.22098009582055,-97.12768983967212,71.36284546876446,39.34123256023248,-25.167514608537818,-11.023724090205306,-13.340192971489149,-13.12731031173425,38.084456458080936,7.691118093352415
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_285_100.jpg	Apple Braeburn	0.006830464185927746,-0.7756819712636724,1.275527035335128,12.648211621271791,2.9931482137649676,1.477797340690951,22.977718294056004,17.43488411655261,-39.10506254731375,-141.09410381725692,-9.29315037608841,-99.0948439459029,-84.7084417758574,22.300484569849562,-139.60331048692757,63.423178536450834,0.6456267330495241,-6.11933088813324,51.094307911517454,10.218719758212663,-102.53917612087295,-3.2023828126294496,5.129944177161857,42.59571298165171,-1.9315475832354778,20.5727405160993,-4.556783704958173,116.30775466314333,-11.002812125324175,18.975008848958787,-5.264657013920718,22.52630840922613,7.235237965159782,18.8825585801739,3.9409010049686692,-16.350512505618486,6.407407876679599,3.0708719777839923,2.575250760535094,9.358827142375246,-33.814883934325934,20.82441168946697,-27.555457322488024,-2.863472090879475,-7.504572910001843,4.842546385168412,45.24292113334118,8.316468244650672,40.64408451411414,2.840478668527074
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_174_100.jpg	Apple Pink Lady	-0.03560708673310073,-0.5801610380259148,-5.075627973284254,-7.368164766979504,-13.987293899945145,-45.66358490941212,-18.874302215014907,-67.39994936336825,219.09892240581317,-45.80918000750544,4.5687183883695655,21.116273280919625,-5.959403701833433,89.568681467166,-13.050992324778614,12.0814056517472,8.070838266822072,-3.571372007463857,56.31306325974366,33.94571296076882,28.555843764998926,7.3457158490885615,-39.98764423829457,-20.64007549638206,108.02707933249123,35.42808570927401,54.21755010810747,-2.0898552190002824,217.478750671177,-38.80586592039104,-28.594890164617603,43.768867852895184,5.462006865702502,-25.995722686694382,-12.729450375011233,-17.46380889290915,32.97807299469909,-18.117002792025556,22.065623247652567,-26.119041337770987,-38.238065873557936,56.11766683242992,59.62155553538653,-21.81685950620846,24.81704284863343,22.152836231660803,19.816908034141257,38.74108152107547,10.21388949295091,4.946570963337817
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_168_100.jpg	Apple Pink Lady	0.05825766155510885,-0.6704701923281048,-5.210416833578316,-7.099917400768451,-12.247106611116388,-47.97229392171429,-16.260667002310125,-63.31344253470047,215.84458192126328,-37.501905034492,-32.936620925736,11.975279572336119,0.5276231134309103,126.77390170559079,-15.755869598470154,19.145452251894195,7.561774033961726,13.30299795521084,27.984448473055043,39.90053594792625,20.972165089420884,3.4635096252509463,-22.923531898312394,-2.9924896803220102,81.24664292542226,27.751296446273233,45.119439563288694,-5.570531632201322,100.39579543831638,-23.42487384684323,-12.016870870960688,21.004502165471294,11.159609457609971,-7.614893528215041,-15.088423252974856,5.656900005676735,-11.177906400349608,8.57574996995419,9.389717378218187,17.928840069433214,5.415744222363094,-30.162640934533023,-51.36192362173432,-18.943948334858735,-23.53169653112837,-26.179877154669672,0.41317390646028895,-9.007240137360911,6.336757271472335,3.4101503281554697
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_6_100.jpg	Apple Pink Lady	0.055428689785280406,-0.2716195025209741,-7.565988317546466,-7.990122748830978,-17.84832084576109,-32.84668988791653,-16.733652529138354,-71.23425733008884,235.7256829498898,-51.71621062342193,18.52758265006728,22.416666660357137,-8.661936414842486,78.92363753164632,-8.680685369552645,10.368212968769376,50.36558946294172,-70.1598485138654,91.41299161715025,-38.079476347495955,34.543022221910974,-1.3018564065645146,-36.88453474761758,-37.044196819595484,-18.188384127827362,0.7577048563903526,-17.206409224146928,5.683650081022115,-13.672952247157014,-4.945618740758462,-0.09827339197561437,-5.624177858936205,10.57164248061904,16.025584931675926,-8.282744023929228,16.02927239646777,4.2263806319523125,-6.55273705471174,17.680842627780862,1.6977706845712979,-3.325346793686103,6.641236291328752,-1.9678064897770338,-13.828849312309549,-0.08339038598214292,-10.496104966658264,0.23941244983872775,7.526455614866376,7.884347357870757,-0.326724421560322
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_271_100.jpg	Apple Braeburn	-0.06438959199647533,-0.22209052632300175,0.045782369384338197,6.798536491261662,0.19038060448732344,0.07094993700950683,16.01264431861966,20.532222901863733,-60.06032222774616,-72.18449178924925,-9.407169550291425,-52.37210177924565,-71.66156779086327,-17.965319021915192,-154.08486315706364,41.483968238095315,-68.15008604235766,74.34071105997718,139.93351264527956,15.59910506865382,-67.72959659242476,80.40427446198207,3.9188490150050312,-97.08598613386383,5.891540994254672,1.454878776020376,-16.98846950886287,-35.4329130447588,-17.761007387738662,3.029486518223241,-10.82282533603403,-19.387810352523395,-19.061245053351456,0.575837876120841,10.884730699431177,-2.707829029830325,-51.23556884412818,-125.54075102932067,39.446232641940576,-9.111482071929421,54.109523477646,79.17248582791834,-58.42519390064618,-33.54717860584126,-9.414260809646517,7.580155896961218,24.74807794674014,22.51124062137078,-7.1471509911579565,-0.2688444100644338
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_179_100.jpg	Apple Braeburn	0.10806446639780393,-0.15172200481487463,2.572629148082031,-0.32297429865114574,6.458816654373506,14.268647705083838,9.377561571837594,29.6161703600066,-102.79162519943334,55.7109507708903,-2.248797994179987,22.923289646082093,18.471233831690625,-50.51479730133126,-38.921086436083655,-34.29792873185513,-126.43007673788786,46.71891227081372,53.21697583121369,-42.54200665658137,67.6214207126214,4.274413746177193,2.4476771681639162,-9.176000076656917,-4.713685888945171,1.924769226020081,-0.6607179975053149,51.451476508284735,11.047253342179975,14.504286907101223,-83.08986158997693,-67.77470781717469,-32.98585576360969,13.857662237748793,-7.6200903641108395,26.45462837465758,23.48556048900922,32.97669024961088,14.862579744608585,-0.6564173246196872,-0.9595134546316286,8.961027881386496,7.642961130113969,-13.513653008472042,-8.281869682301306,-0.3900497111763443,1.034143157446517,2.253266915061787,1.1138786736207424,20.61423239805425
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_291_100.jpg	Apple Braeburn	0.02503647201863022,-0.6553217230217632,1.7239253807570734,13.955438447326937,3.5378743931496177,1.6509263499990452,23.372188556559095,15.330935455765689,-30.479381020742252,-149.9286428795793,-5.083765881913075,-97.68567151664037,-76.4237680279478,19.46357037801409,-122.3691699402582,56.16703464112098,6.201684223005709,-14.58011613299285,31.327094875280245,15.278458766197717,-88.7825525422002,-2.501126409331848,-2.4653107080843104,46.834472986034115,3.2361549157504377,16.145356146216596,-2.4470995196417,80.8008619900732,7.797812859333745,13.234270966722043,-1.832557401202137,7.692292888467375,0.25484521563181595,2.7418294074534835,7.516890916300248,-15.209656003885037,12.196387176661421,1.6236063292994471,29.357582225606027,0.8991292223619702,11.96717790977413,-15.590305933007972,46.03484270747201,-47.317656735873314,8.453484727183369,-24.379661877608513,-79.00360090970734,-4.621351696100989,-92.31627263566831,-11.399654294143275
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_296_100.jpg	Apple Pink Lady	-0.2117686102188353,-2.9016912863880613,-361.50669350674474,-11.204032474795913,-48.16792405194578,-62.16054878430968,-11.255021921263921,-78.1616358326113,296.50543054971973,39.91418970914758,-116.80390398124133,797.7891895330819,-1246.836954992327,-194.10232609840594,-2.178005141658079,-10.88255926023222,38.565079132177765,167.17447832420953,-160.90189339764788,-84.85131027671369,-62.272246834991925,-6.050092945368748,31.811407996916667,-17.716067848178962,-167.10073687047793,98.10744290621626,-3.6353761591732856,5.952682922549107,47.624158024203055,21.745354553032136,-49.49424846604475,-52.31682179123886,-26.962156373079416,-51.72914473393121,-36.255802177982936,-188.0328819331059,167.62210373731224,-63.71297237385044,-10.776896744238122,37.017119807946436,-0.18702098648425605,-39.907831303790566,-53.188215869849095,-26.85820933250157,-31.612686353445053,-29.49246698804684,-26.907218471665562,33.9363600032941,6.415223729925259,9.769458775171703
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_267_100.jpg	Apple Braeburn	-0.061330171993681584,-0.17900062289646393,0.22015663643897,6.957672293333226,0.6407390512395275,0.8139790409185937,17.201332580765772,22.6187949446392,-67.79052346302902,-66.46775991350829,-10.472058772771868,-47.47848365912006,-67.35698836227331,-23.062148095901104,-146.13317655894815,33.733889379117784,-80.2609751568884,80.33051298234166,136.65246847585448,10.933525525050694,-49.10930604357519,75.65732984074533,3.8688158012629232,-94.47987206645918,8.501482070992775,-1.2410609836189272,-16.93832717675555,-45.61127030492506,-13.286304029861533,1.562961565643283,-19.759866505047096,-37.088544146954966,-24.748225884477957,5.739600861285041,16.39780190277213,0.16906471069488785,-74.16888832124471,-176.5536457848335,53.31605268562103,-10.531382175361625,71.32943764619061,102.88348146673835,-78.52075740334469,-38.68530581363373,-6.789122660520171,5.9269114425208524,6.687960054334224,22.12047384497997,-25.30053957653713,-5.295535967810972
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_298_100.jpg	Apple Braeburn	0.02181415425237753,-0.5482207376573527,2.378710027457949,16.730055323292827,3.9224829654363007,4.423941086302806,25.810263609819593,14.653377626758614,-32.96106967425367,-175.62079598664835,-0.02231818584071158,-89.100966271829,-65.61981800780693,3.0391603567195005,-88.24789665118792,44.855580303266414,12.624191134077815,-10.565486905339332,6.512401348634842,8.573072435999961,-44.14477973778431,-4.115470910680421,-1.7241693486814067,36.828663420712694,-3.2768212020672425,-0.7555735732741765,-2.059904249689659,22.812087032567028,8.43000372178046,6.378140938904931,1.113956414077846,-13.402338110196377,-11.445043215774094,-15.61230037574092,10.725977042900313,-8.764066466787032,8.834874321638067,-3.402059136632893,26.45483933818639,-5.49171499961851,15.350426274466496,-10.212867335002338,33.34432425100156,-40.113303746409805,2.6214858603088067,-11.169800204617163,-26.66078370741132,1.740067556382271,-17.566023265330312,-2.5760626371348345
