path	label	pcaFeaturesString
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_12_100.jpg	Apple Pink Lady	0.058850214310943165,-0.4318326623177725,-6.1678667769681725,-6.4973197097827855,-16.729471435299757,-27.839951874230763,-17.851284430949683,-77.55546179702299,258.66485669101223,-74.84340357105832,43.391067150018095,10.069288750907111,1.68442845882124,56.48300603972403,-6.5850071768001825,18.320684948094584,73.87183230045076,-96.63179780808436,88.27785943652539,-52.25055802517759,35.650577980256735,0.3208733579365323,-27.794290517305623,-32.8586883080277,-30.150675314246104,-14.282638486116438,-15.091167614699046,1.5506334815374303,-9.977061185188546,10.899216839035976,-14.673963290216545,-16.92573745599564,-5.866560512003281,-8.96716001160946,-19.670589188223925,-46.24489669383774,13.811449750163483,-7.307814496500478,16.597577136380714,2.284549077133072,-5.0498229438292785,11.657496421752617,8.061500740225387,-21.567796573103976,-4.723201641955481,-14.59031742129898,25.874357297999545,-30.463139495408377,0.5690904173627724,2.189179538383425
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_284_100.jpg	Apple Braeburn	0.014920001612605115,-0.7934105081947074,1.2753185861387881,12.721119696480299,3.0250891198254544,1.2712473280626584,22.10052713378679,19.65281116274513,-42.05569181964786,-136.00550575971516,-11.255693911727368,-94.56471752506471,-81.49364443225473,19.532062966064682,-133.28035288652626,63.012474768410435,-0.5206949762769727,1.8089544834992628,48.934993533235506,5.769202566295051,-87.12113933214845,-0.21696488083465768,7.803506573553862,26.455799744463928,-2.9140917896772387,14.356597141414412,-4.386010563397838,79.52233840560756,-13.723794202754204,12.420201379125679,-12.190019996637412,14.861459868148522,5.184295475040072,7.048899362721189,-5.151998217395691,-2.7692535053748837,0.8420229212573003,-1.8245933558710548,7.7747135008003685,6.5161775701262945,-19.781766410416044,5.863402307601627,-9.399453196166595,-18.87425126789233,-0.7109943555849536,-3.0025607676623984,7.629078141428391,4.224513919331946,8.522281029550275,-0.6666117558790117
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_295_100.jpg	Apple Pink Lady	-4.1847020056596245,-170.0588567983382,-33972.88182707529,367.46137037710326,-194.54856951914763,-87.24410934356817,-398.40193068792047,279.49779098718227,-333.46046634920765,-112.82885095214027,-39.48670001032229,367.4717244587711,-713.984262457917,-435.4173821216455,67.66916910054863,33.54104632291541,-19.481826216068548,204.08079433655584,-321.6867565357971,-66.18394318029617,-120.75543124990074,-26.749786690415007,27.591900255506978,44.598852639759585,-71.68041057509387,-41.60678027719354,-10.732850275591474,40.569019629060904,73.12511106358338,85.72214555891183,-141.74176675887895,-103.286162327628,-36.46774418176256,-129.86233537094725,-19.940373391394605,-348.24386873476885,209.0366247639175,-7.4961373412268015,-1.6881908039777316,67.98657305994111,-61.88214224516999,-130.60827624062367,-48.973522288844705,-43.03757406603347,-57.314808731229945,-133.23851548958248,-55.74901949710102,102.50826155096078,-60.72371660481791,50.85110861275924
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_185_100.jpg	Apple Braeburn	-0.02036448906818843,-0.48158061131684177,2.7506887303313556,0.6129976644043917,6.778342820534983,13.704447477119885,10.482063230217202,24.537215461289065,-115.49758397043705,46.82321255091491,-5.989167369039589,17.445658156458958,11.48050071739211,-52.85596525550543,-65.22109845714762,-20.367833961098516,-132.7134065612303,57.52190715186581,60.076834424587936,-35.89876050913511,50.647961553326326,6.707718156485443,6.489235229033164,-19.687338026967016,-0.19324990420758312,1.4152443904170537,3.5815322346620526,52.43207199727657,18.623306959801273,20.080097851850027,-103.09593692375708,-85.33360818208892,-37.600518893331916,18.08769785522328,-0.10737829067564326,34.61481784552216,11.036546322874521,19.604169403021974,12.874795686072956,5.259211419019307,-12.783698576998505,-0.5533678665975111,-2.9510807627235454,-40.873078230921266,9.488537403758018,-11.835908676488835,17.688716642321705,7.209246168996098,9.933761911352926,-18.99109356723484
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_166_100.jpg	Apple Pink Lady	0.08157003412722827,-0.667153395308163,-5.058090926221085,-7.585304707471444,-11.283117283873391,-51.26487285248136,-17.77124408648143,-62.64054249750774,215.59615657847849,-30.883492310672523,-44.903130613284624,11.642788552685706,7.2627922507714056,143.3167233712267,-21.058119113609212,17.5363418375759,6.742226872930447,28.500641650363885,16.79014223809561,34.7408459865836,19.339025231452094,2.3630245970366506,-21.25604667997722,-3.633205746105098,72.33709198790818,20.41722769999004,52.00013500088203,-2.3259562542950203,76.07084960044203,-20.260582470046643,-9.554852314149596,17.890673188381253,12.663611482936403,0.05899926523302757,-13.263688836174287,12.632353652615405,-16.877426339725353,10.448209312301735,14.181101241313458,27.244995538575605,10.359441385051325,-53.589744601392475,-68.04023718369085,-13.560635420380894,-33.43327691301105,-33.726660934416415,-1.0969429890562306,-13.701082906506329,3.221827590875063,3.409052677250971
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_286_100.jpg	Apple Braeburn	0.00123682647841339,-0.7831763115124006,1.3859556290415902,12.902926208050618,3.2699657489252787,1.94983221700897,23.796285440351905,16.038168594647672,-37.93089174926872,-145.88271319170642,-7.741050266854226,-102.696546541012,-85.7117600883308,23.850329564292778,-144.6424952660935,64.71277910601108,1.9416244487557615,-14.260674069812056,49.76329850745468,13.26329913006094,-115.7088164064793,-5.492508508809639,2.547612455958716,56.05369150315074,-1.751134159190208,25.344711384269,-5.531447959047856,143.7408484427637,-10.566115898995829,25.710274563118396,-1.5943224396602003,29.672887907847024,6.698217252875506,25.736397928811854,8.484298777186893,-24.390406834380958,9.444010085187802,6.510459412069683,-3.1926859925422897,10.38553057293168,-44.136688225618855,30.612354143332833,-39.891002560221814,5.817421480565994,-15.627781264602849,10.541145349562713,68.29111659424215,14.029035716391041,57.59312384382867,10.69155863081966
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_281_100.jpg	Apple Braeburn	-0.08259802143841445,-0.13595777489254632,-0.1509975010770515,5.985256896639556,-0.2747733053707637,-2.4051872792937012,12.214581946595743,14.283280729819415,-36.56002663787197,-78.46675857342996,-12.095264905497428,-51.691351119945324,-65.8736492130644,2.4539746594010516,-133.30308188227315,42.771698335036795,-39.90526811694296,57.075635498126445,116.88091952312939,24.352453953194022,-86.70819739838954,60.46878552866293,4.714015491259712,-77.34197788743461,9.438656547868774,15.21332850718779,-14.017617666070969,1.673471571684768,-8.118281099685598,7.350398793703961,-4.968028557233949,-1.8498111211074995,0.6132089328410935,16.54320276092182,-7.548015994647951,-3.5985572314621583,-1.499818048508719,-31.352648762409395,27.255645018659088,4.540345390913756,7.141194261154084,23.990428454012573,-8.846930759094068,-20.94081753659793,1.9617160191639804,-9.006066785913667,2.0924103504480187,4.484584155883332,-6.344158602540689,-6.610880071212401
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_1_100.jpg	Apple Pink Lady	0.08042685606305368,-0.697915668084583,-7.252923731980983,-4.363457529936615,-14.82571977666133,-31.42639218121245,-5.18811456684949,-60.662180296558574,217.29388290957303,-72.48910269986187,4.398532227316908,3.000431738102308,-33.80727339636984,112.94155681184266,-12.930663562776404,9.356574121106123,66.16148046401825,-100.01288264526626,71.77132154132626,-55.38527749693817,43.08476402617136,-27.849364139332256,-53.86127183467333,13.46347199716383,-17.65059440886013,9.07297069584465,-16.15423726712389,26.602194851274135,-54.43040846105759,-23.40671652828992,10.165557855564646,31.317458441723076,21.09168241725927,20.866038119093172,33.00771898601108,152.65313168075474,-0.42978464021153184,-6.345209016295964,13.781470915798746,2.389551243083109,-16.560394065259757,0.9073412884420986,8.589479529348694,-19.828248596093978,-4.445535856628731,-6.358801252564911,13.395566726623187,6.0999805792414765,-2.0610995428678662,1.2228282119132876
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_15_100.jpg	Apple Pink Lady	0.04126510581119031,-0.5157966236084223,-5.712501133547976,-6.11780145831053,-18.199506507569208,-26.43179732293536,-22.779117528141867,-81.44026406670055,268.8828350583607,-83.61922226642218,58.54425159874044,6.675497388649486,8.451822038995886,21.02177698027226,-5.922186126389087,25.033057809796365,65.12524929106858,-68.60348698694611,58.005216904589176,-32.66646758644539,24.779221591014846,14.913648704325357,4.842037545951696,-19.494286533870987,-12.961113445500706,-11.482021840508878,-1.1883685192573847,-6.494246735136364,15.520582291992282,38.3597736433939,-7.102402410652093,-4.070784196019734,-5.871983771725548,-6.189849635039971,-15.762299286213942,-20.063054357114027,7.668316508950596,-5.275578185943265,12.492131038545145,0.6772114476176463,-8.167474534473097,7.934215067018153,6.299140773564332,-31.434634458673262,0.7610886378672151,5.557634008912509,15.73567465866614,-27.92478309308747,5.731568481426357,-2.217415760861767
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_301_100.jpg	Apple Pink Lady	-0.212827626313067,-0.41124860467488406,-25.535361145527137,-10.429345970771296,-47.90907774451941,-45.06135099480535,-16.44977689236309,-47.44069971391217,159.15815315126827,-25.600457475534142,-21.91975804010563,70.02567138116491,-121.10071138023436,38.017039535037895,-32.93724619714698,16.742169131605678,15.000952658962753,22.105169061626952,59.90485607470548,1.2067562946120864,16.760960364353647,22.886116043928457,10.131305448125827,-36.7746473992736,-23.731558146307478,13.08092631018462,-3.0381239405711833,-6.727115306660882,2.516097706481498,-9.851079930107861,25.906285621955213,3.407805862322636,11.597073230189302,21.258236139678957,-4.0173075711802495,35.93321298804559,-6.622192824644759,-18.648629095722374,15.951585861547054,-2.6455751649076613,5.928354300315473,26.534560266672518,-2.91287999030197,-23.030651889141936,8.404183367095552,29.544325452201537,8.19103284437572,-17.771552686377362,30.00876311042629,1.4406835742295936
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_294_100.jpg	Apple Braeburn	0.013021244326945297,-0.5734205395789439,2.1320104486352753,14.928974482709696,4.031089603108828,3.3326166056308995,24.570439487132994,14.773967289377259,-30.69680847367842,-154.60574364833974,-0.2522520571983759,-97.57547624893658,-71.69596265595146,11.635402258466026,-103.75142184070948,49.33125272322577,8.778291000992086,-12.881474165768259,18.10250969978746,11.781461930663605,-68.29157397139852,-5.182237603684151,-2.2163594726626505,41.76141261995991,2.119675880332289,9.36316202242827,-3.738940217350325,51.0878339651691,8.559343672792744,9.413364493165192,-1.9211994610453302,-2.755909150973051,-4.653957497198963,-4.914352370272206,9.666588701975261,-10.920418852971341,12.308187669123756,1.5209336920986085,26.761376159173427,-0.4583189782586489,8.30809672654754,-12.368924427980954,35.58804657593982,-40.63188947428017,2.764108145897752,-17.234514649041472,-43.903320038016496,-0.42202383422304335,-37.533828353568786,-3.7795265277895065
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_155_100.jpg	Apple Pink Lady	0.693744190715356,-4.78177824929845,4.639819502603041,-61.572828168669226,42.88907172250616,-969.5920304014224,-368.03639726742017,-63.919613910493,255.89165640384462,12.74468457272759,-706.7844071165343,-316.04115652884843,9.95634938790127,11.2647970248766,553.5618172249616,817.2123400672533,-416.1610938041556,158.4764392161876,-109.99281302878464,-287.42931456933206,-117.49188437415651,250.73944234185558,-42.21574598509921,-55.20336272524798,-285.1630339937045,111.02769529128605,-92.91037012337809,87.0465707689751,16.385504204292324,22.738540859739533,93.1640064210941,-114.35575223908454,-2.9585551552400084,30.24838010099972,6.9343109265414045,-25.06624925945603,54.98421212740613,-14.879797702126126,90.58028020170089,-28.982311527505555,-51.0877379798897,107.68926267094099,142.10407212733216,-1.9558847284142038,37.38331683476555,3.1936245213437706,56.205125842917575,4.161867320398804,-29.74592261217326,8.636247993230302
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_175_100.jpg	Apple Pink Lady	0.168442344136496,-2.131361801598595,-0.18652346927807353,-34.2114977795099,11.369549731700602,-588.243495908731,-252.88812459532133,-36.71272116129345,62.805057936518224,-100.49284526752443,466.27900908261915,151.6685282901791,-3.6930797251371636,207.79615971418022,-129.9637015248938,-122.91294310900975,61.59832955270829,60.83606884398537,25.291727149783227,52.97731017829116,19.029118063544093,-51.56827964736316,-57.99104043608861,-44.17483030145767,32.73524742327189,80.46998927984511,53.52854743152541,-9.211947932676322,224.2704745303901,-68.20138645529242,-19.42888397143955,36.604452457969074,14.513362953296475,-19.87277385227839,-22.514324011682213,-19.509405662338956,-28.94577796769774,16.13675262606976,32.052151091688565,-30.1220205835304,-17.31489952602609,52.359009426604125,36.432078153839974,-18.11642500281328,17.30063571192065,1.0765134929128315,13.726436330758956,36.31202472052283,7.503827537253265,1.4573081944217132
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_20_100.jpg	Apple Pink Lady	0.12751875357138154,-3.9518314585240852,4.494136219870541,-53.20572683959689,-68.55854343191943,314.23322801525933,-867.4342985967257,-177.3561230176408,429.2638857079266,-219.41972003217214,213.35854728929831,-47.035296313735884,62.77868767790715,-287.62798205078764,-33.37268203800831,40.13131619439377,-71.43017014604864,184.74283826059664,-44.221457812463385,37.42712915840189,-54.47606931542079,-86.23306611730675,-105.8593729965774,-19.84844872602236,-3.9383501655371957,7.828564216177599,1.4994451545449892,41.98224880224422,-50.01254590363726,-179.4040465363614,-12.314541212779574,-16.92965192888559,11.111086701158818,-1.1584336833515134,-6.841812909528445,-3.9521205840949944,7.901617201769741,-4.285645707923534,18.89114902527871,-3.6091645623474453,-15.813882816275141,15.334315912600998,6.411480968628166,-48.83855243828336,-5.2349716861941085,48.10575228739941,2.422052643236102,-45.79061224593923,18.360884944719093,-1.6359391405711983
