path	label	pcaFeaturesString
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_176_100.jpg	Apple Pink Lady	-0.23440955039401234,-0.9464340000798763,-4.677318187764165,-9.617158132849706,-23.36079251638485,-39.29909496743033,-41.635916742380104,-113.06788967567441,267.50831737240054,-73.4862897529683,66.77055735474644,16.70366134313829,22.236992946789535,-21.462177086900926,-26.52301164577481,21.79743987928682,-30.027213291643616,92.67826077888661,12.423354353614295,61.22003112267161,-21.70923826232779,-93.49914421117992,-195.8117866567733,-56.78236538096976,71.45679193567773,18.303634654113655,62.09567231933665,21.93092809786594,158.68051496222796,-143.30753896055975,-24.53499712440602,35.54084577370331,9.432922287704661,-31.917028533241236,-29.57798230279207,-13.316776258966984,36.414588222923165,-19.307448092532567,26.203302195732498,-17.150378782375622,-24.289654875701842,45.105606334083454,47.54685911641366,-6.110155280108516,28.778280646313007,-2.429829466979955,28.651579166236072,50.24621224405449,4.11684197799066,3.007450676628246
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_7_100.jpg	Apple Pink Lady	0.01141489911773608,-0.19422587415548798,-7.534067756437387,-8.073062818351044,-18.01402986416817,-30.72950166112286,-16.79000073406447,-75.00354498158019,240.39362162041158,-54.4610924914785,25.19379980989161,23.78212066962802,-6.395223051435478,74.046663636708,-10.579980646585074,9.833895619502677,54.486824055517246,-79.16266168047635,101.07516470157445,-38.833617895748766,29.24337418216602,1.6674060484604807,-41.756609392076044,-46.917902841386045,-20.17187424940314,0.16988441417737887,-18.1834507740017,13.547829915917053,-10.517727094744139,-0.6438983570211451,-5.629992621295076,-12.64108072397344,0.4676181709796732,13.805905543087773,-7.139193654424133,1.208859484876136,11.539511655506299,-3.7915017473252832,19.722942192774696,-0.2939017228059092,2.337259836610117,17.547560914870484,4.445613021496944,-6.281114769621694,-9.734462710095318,-12.756845688613161,-4.3064594371335945,17.012777153781926,9.417935549255038,-0.32839747175265965
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_299_100.jpg	Apple Pink Lady	-0.25902728047240553,-0.9816108848630878,-18.98200629591567,-13.544425106302254,-42.18783105507649,-64.79729688147688,-14.816407002257112,-67.46252219758446,245.28104657315856,22.11690755910057,-101.86848823922635,543.433013023335,-869.5179984796185,-142.17776502950954,6.549935893336743,11.679354542767607,27.2193345606202,80.6079030812766,-63.318880049324704,-22.897007122421666,-24.27082048649061,0.7782382576509168,12.654260645455764,-6.695242463504608,-26.883253988911726,11.381312767426351,-2.699229187099599,16.074642666079434,2.881830976225717,9.901754203378486,-14.85934522488068,-8.385367351095631,0.4709890381076191,-1.6516149502493394,-10.157228032131844,-13.598119503094322,18.99663614110645,-4.900983011330794,16.944865939924792,6.809876471025748,-10.094226739375184,0.916334308356865,-0.45067017110879953,-19.392688572455608,-5.4289169724233455,-9.057203012387907,4.325721877012566,6.565662868697148,3.615210245319887,2.3330945253896522
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_297_100.jpg	Apple Braeburn	0.023753553122770683,-0.5035494209139255,2.3061601388464155,15.986121673686483,4.00086468496227,4.5089922109775165,25.199003687381605,14.03172189836348,-31.36260642860163,-162.0999782330231,2.8566707151971107,-96.03791849357374,-68.8114703948159,4.9337340484027985,-91.25564411816075,45.0096261772363,13.278097988813895,-12.027351596968375,9.936504127272086,9.054538015419887,-52.66346286754957,-6.152257091423147,-1.583393749318895,39.33225991700889,-0.9014534962552944,2.45322844860647,-2.381891987295913,34.08610464900553,8.917982728032474,7.787628931167269,1.2383670441411212,-10.427824245181073,-8.965866830836648,-9.283466556948797,12.544660206697568,-13.072575966689314,11.22260566717572,-0.1523684364106701,23.991241479226492,-3.356502516603317,10.964692723308696,-12.136897818489391,34.895740697307964,-38.68399784755114,3.1844900681183845,-14.935006085270912,-30.439869713148795,0.36931915319552017,-19.72380322706634,-2.9502270619886115
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_21_100.jpg	Apple Pink Lady	0.1966678382336851,-4.3904854953529515,5.6479209796150895,-60.35662250642908,-72.81058290510609,381.7827634206308,-1043.2699435990135,-144.94365373720643,345.9369070150822,-213.18142234227196,138.18089760134606,-58.298343593339055,8.145823967246786,-172.97594953237248,-26.54875609192789,23.52428775014972,-50.86701103176665,152.03342925494687,-30.93926587564989,45.346642938082425,-28.810929756287347,-118.63986535988953,-220.67241004489728,-49.149482873344276,-8.991667904557614,6.766655549250341,-12.590788342339232,1.124918538485608,14.113977262587657,7.2158972615431125,-2.444674555005902,-2.9971571357785987,-7.158866001116009,-10.28709470365131,5.008816558037347,1.0017580768761136,-3.4748737358393478,0.7198312736761073,7.938228007394957,-4.117251270886817,-9.539755373135302,29.97865869511753,19.474539611013,-40.49803777323964,-11.68488144062131,4.872262249716962,12.978494228819006,-13.724007732270818,25.209595507210416,18.235900820838285
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_14_100.jpg	Apple Pink Lady	0.06365229170794677,-0.419580759345865,-5.756816875329233,-5.987828405945584,-16.70362489076368,-25.64241443864347,-18.925721721495314,-79.2662399308905,262.42037113712115,-80.84285849179692,51.90292891626248,4.8400080513807735,6.491712122253344,41.24292720488972,-5.788351204210372,18.74376673317741,72.53357222481468,-86.91872957367917,74.90748345661882,-46.79944196525619,30.944989543247367,6.561594087495962,-9.173958711854533,-24.066817385744745,-19.401592602804552,-11.945685697928427,-7.085688234942374,2.4109769018867393,-3.5566316459691065,16.721912419223138,-8.220258686258092,-10.577850677607586,-5.595468492973323,-3.8869297312241753,-14.585345585123644,-32.22627834853148,13.167359135121304,-5.749224328699536,15.137896780987047,1.059676761724443,-4.811369587652262,8.048834884012901,7.277187223334911,-23.775847245304757,-3.168506860259154,-7.001925775409435,18.165544246399246,-29.56560880867168,4.644591441880859,0.3184791604670164
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_288_100.jpg	Apple Braeburn	0.02214657671461069,-0.6961250174918842,1.4934303057188463,13.400261287687327,3.245160318284102,1.2871555787227429,23.651112240936666,16.138783524891352,-32.16115677775171,-148.78631496904336,-6.160304752004656,-101.58663053724472,-82.31397381472776,22.771136437859905,-132.64013503675008,59.558711786018364,6.127748323834857,-15.917971014157063,37.40289758029471,14.711880338514497,-101.79968122470139,-5.176029966191927,-0.7065091549099958,55.046533032335056,-0.46423554288382657,23.272307829552314,-4.6685342786246675,120.35674452474852,-5.366074073685429,20.060224497779302,-0.8330021346661558,18.972222332985442,2.542664334905024,17.283968900784213,10.17181072710857,-19.79186756752957,9.221005199433291,3.6347086056806703,11.913834462519189,6.651382936402456,-15.673126503789577,9.469377890139835,-3.3906335822413203,-16.085260974829918,-7.7304213917237385,-2.524092767645228,14.028805252475706,6.205283402841422,-0.9003052896093627,2.635439323519869
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_183_100.jpg	Apple Braeburn	0.08284327495516626,-0.37730720658514444,2.70660097101715,0.7247924944394841,6.930606504072047,12.95884701041922,11.553304446205832,33.91762356363978,-114.45041553303304,47.09317749248807,-7.7364017786070844,16.646105796053817,10.42816072589412,-51.234324001397134,-64.01774102612298,-21.827866370922536,-135.95683176008947,61.49704194651239,61.7122609498177,-38.77551465204979,58.215221958926485,6.1874634406867095,7.671352543411736,-15.810964716399889,2.3163395750460634,5.4275745826690835,2.204735161790399,54.52188498860748,19.239899602319554,16.048089831821333,-111.55889715841099,-91.08292709791385,-41.499289077564626,16.51053438845513,-1.7718381020590854,35.46753306863762,9.804762710571094,25.01090671362405,1.1241250139240138,3.363440737881755,-16.592145948862942,-4.055573920985347,-4.543281416268442,-58.92560151477452,23.820950533884684,-22.829997656187807,25.48233123310691,11.537499609392613,10.949118078458067,-33.443411411277545
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_302_100.jpg	Apple Pink Lady	-1.5545633270258254,-56.34033719065756,-11260.231960311175,115.94168722691269,-95.65179790925386,-57.023699839849925,-145.5891928657916,64.68741039530892,-40.299217596038176,-76.63941981122476,-2.4018647326130576,-55.091265787840946,23.509967086234433,-35.08582071950899,-8.130732716829229,27.325998121208613,1.6865025527235364,29.993309576840478,5.031343135489567,6.523527507609994,-5.257483144253374,16.293623135179615,8.603916138053156,-13.855857050194004,16.82262874434163,-24.78995635039617,-10.161850952290008,9.23108460677266,13.765059504900005,5.3379782766071235,-11.004728090008628,-16.360387036367456,5.323977537585091,-2.358647413203328,-4.99454297092558,-20.724961858735174,11.50119850978443,-2.9507799109549295,22.75310357164408,5.303491964934052,-12.13704657689112,0.28808278475961485,1.2685160865782792,-31.2415547098726,-6.144689347437886,0.8071442424505471,-2.013766067127837,-0.310001011719361,7.077400423116525,8.0815984812859
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_154_100.jpg	Apple Pink Lady	0.32098336162076646,-2.9532320896201987,-0.9772113527204324,-37.134993276186954,16.24281403943664,-567.9844763262698,-215.9606936729179,-75.35233029391782,288.86864684407357,10.478789920685289,-741.5164524264668,-186.36445252371104,85.3761647387216,-204.4975971789215,-164.56471426928348,-201.64446677846786,149.3487576763516,97.83845603586478,-69.30694360039743,-153.8529816052084,-52.63159703654694,35.01934170415626,15.279520105705103,-36.56868651208605,-135.5021382511452,61.91964723081105,-79.73295187037195,20.690104697347127,103.5777337126418,-17.21635382571655,18.73223602215529,-6.570290063794498,6.820223518599807,3.834427511174949,-18.56341497263165,9.878321749615925,-59.857971097860045,26.099827926440028,29.691059434353175,-1.7920192356742488,-8.663385369181002,7.719744440244389,5.843433940285799,-16.262820108130583,-6.048620272238764,-15.235768116222742,12.843940467061689,-5.231330928537753,1.5033469880577386,3.4018594963095863
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_167_100.jpg	Apple Pink Lady	0.08657742738038089,-0.5834615052418463,-5.17151766730292,-7.923366310466931,-11.683726882359672,-48.22151629046968,-17.19977013957887,-63.899816206311804,216.27039406441753,-29.625580479965933,-36.547526093084734,16.805696956262814,8.695487708290198,137.2179342952646,-18.527745309641194,13.403712272541748,3.0515866643005705,18.29910962134201,32.469818151757735,44.35409049591169,24.408118826347835,0.7564738405475828,-23.20090621322906,-7.708053129756041,74.02154844012773,21.826399130716748,47.43427061313017,-0.630660118103641,98.24638840797168,-24.371273050974267,-10.491078184482621,18.288740944970453,16.254198102342276,1.9130598988131455,-10.244363555200543,10.228725652583522,-6.420167082469723,6.966687681733972,22.320644569655844,25.198543619199476,7.780749809070991,-47.70020380057684,-63.486716941653675,-9.148399196607421,-31.366973606685608,-36.79112881944932,-1.5421564674434098,-16.255978444654048,6.434107619605952,3.2637310741935472
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_13_100.jpg	Apple Pink Lady	0.04924861611743814,-0.4357055291882189,-6.0453553153834205,-6.262944047041552,-16.90462105175012,-27.60336190890471,-18.83669275792976,-78.56772463942242,261.7179339988387,-77.89976001728404,45.48184076454668,10.244219778385862,5.37353545361464,50.4264202239294,-11.453481746328261,20.063803645203905,66.12325787326988,-90.54217180357965,82.61321678711573,-47.79467725238149,33.34226975881491,3.45484109814189,-21.713447949954336,-29.465731415570865,-27.593576684580345,-15.491863417055335,-10.546506555926632,-4.041344464812648,-4.042075707874839,16.280474658251908,-11.937796217810202,-17.48329811229903,-2.0275538043810144,-5.846581689619271,-16.523049826183172,-38.20471075598825,15.19217201051246,-6.10229561269529,22.29877345569394,2.816463686436541,-5.438992533598901,10.179989684553927,5.9832012008919575,-22.61619646416039,-3.94640615163714,-8.816924154354826,21.573213455802822,-32.59659465416023,1.852613208734824,0.31628014265267723
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_160_100.jpg	Apple Pink Lady	0.24580518724292308,-2.167719610301494,-2.0502017828102748,-26.90269576116006,6.8713012588341895,-375.7537998678486,-141.99515126575292,-60.954957794777954,220.3001359144122,-13.235016855228247,-231.70168350782563,-95.57291804658946,-9.204997583584753,155.73498151732227,281.15722327802746,459.65378571429363,-230.76805863809096,90.67189621962969,-33.40049994255153,-43.53718420542707,-38.98627731694468,127.69307471710745,-34.486268674880826,-24.36166874530763,-50.691400529207755,44.35423054682434,-12.871597152061753,45.98057251082925,18.563313385773927,7.7359012153309274,75.9228092524632,-80.72968556876685,6.7229806400624605,27.93237738767703,-11.332079423159263,-4.409927183907725,29.836288296381706,-19.21086519970896,-12.711361162796084,32.92896010771286,8.65858224400342,-10.489389293459327,2.2490380738352855,-29.929313384066305,-1.0354644042321315,4.6917999267972395,-7.956631559530891,12.81366996167105,20.26788480078397,4.499887489511415
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_105_100.jpg	Apple Braeburn	0.23735868549787392,-0.6437737204967479,1.9782532320630521,-3.750907684685677,4.736625011114865,24.341080610835153,-27.315737221054988,33.078617796261426,-101.93167048974651,87.27624855047175,-16.585889152817618,75.05849355295291,45.09311925961407,-40.683480938160855,-44.656225374143695,78.00319387057769,58.22029063689786,11.095482544752047,13.014597972338368,0.9283084498657393,-29.192307187823918,25.034119706768305,30.663060273689698,-74.9403839147882,-76.75290677058696,-107.97632393563687,94.17166787885088,39.22583482531218,9.51946693475939,-11.783437614167871,16.408887951017274,24.022191500105357,2.8467831007776723,-3.200270713326464,-27.176473176372706,9.155958330947051,-3.933290141605443,-7.672471931601912,-6.4043065946150115,-0.6499272181348887,-10.85692528876243,-20.604002107994088,-16.368349899367992,-11.976313051538083,82.86475350796013,0.14039225821195261,22.704029355602778,0.3616748097575609,-5.56864011198684,1.7469109083835623
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_181_100.jpg	Apple Braeburn	0.09975324264885639,-0.3750172864763029,2.724117607439287,0.6122157317506469,6.880892043744023,12.340043382716297,11.389014461993776,33.203769895636036,-111.82493980355507,47.32637824946288,-8.121973799405179,17.307680780575428,11.98497378148936,-50.22757249848744,-60.80237302067663,-21.72140120874068,-132.97173897364226,60.66581374589569,59.28411048775349,-39.68203448756277,59.965264059350154,4.516757023763923,7.056281204162568,-14.290102896947314,3.6888759946053598,7.78964410314895,0.2450951311778011,51.77394176227683,16.47846981088028,15.544508629987698,-105.542952735586,-85.12461784119203,-38.1606993165327,12.840222509014625,-4.894640032036762,30.87635405992704,8.099584464824256,21.973797277652185,-3.2023691215286645,-0.440226285223536,-16.079292819914624,-1.9812161551144862,-3.631308486525983,-54.54449386417302,23.53432665847192,-23.22697640854752,21.91158414826305,10.657409830896857,9.066626870583784,-26.004558669822934
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_282_100.jpg	Apple Braeburn	-0.08340379605479416,-0.1003351310879939,-0.15648481619354235,5.979099452422348,-0.2934112505580455,-2.483382989943077,12.24503096975327,12.894913230048957,-32.888855397614904,-80.4851266791662,-11.553458652771486,-52.157819534092525,-64.93395459676343,4.4439071086852096,-132.41214233560171,41.994845563554954,-39.16404932080856,54.31715065487559,116.25231943761113,26.687426952644188,-91.46067301122834,60.292531099754235,2.553823215222964,-76.93844772535144,11.35398000031663,18.191719482042444,-16.334121696499903,4.5394032738231775,-8.099037205238139,8.988420881127485,-4.4607731839540845,-0.020392303723172175,2.5851243125422765,17.65263672106425,-7.353071263620957,-3.9706885265590537,4.185800713254157,-21.79831017234369,27.253538815403797,5.190346186148748,5.443105711959119,21.797133929662724,-5.783051622689968,-18.93729577637414,-0.22665688334595022,-8.078953247101154,0.8852962904151417,2.9196429914724464,-5.938629559743507,-6.481515188700143
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_277_100.jpg	Apple Braeburn	-0.055709087156376624,-0.3119519327563143,0.11094566460071018,5.619320361167788,0.38342509159404353,-0.4667435612839788,15.284976544930167,19.6513852537226,-53.27184808561158,-73.16487741154404,-10.915641767381585,-55.816060677609116,-77.57767054566538,-10.369291735013158,-196.5163025966124,52.9872978647432,-87.35460079153813,94.26748649604325,215.297794397647,37.47158305518392,-157.89224574547595,147.8302040089452,0.22102539223356424,-236.36217464383859,39.54468500836276,43.62738008468212,-76.73031713554698,-168.45679169657438,-73.60194715336753,-3.5670029015364784,4.78823238717104,53.18088847979894,43.4375272010242,-54.14378128054189,-25.735311189135178,16.189401879045807,56.37782194061724,112.94635741938292,-3.853513396200254,5.759913632709566,-44.677582779477525,-31.426972656210026,28.156891826468247,-19.381314764491123,-9.591729143278233,1.4532642604380013,8.58209197735054,-1.4090293839241,16.331864964462145,8.686881066612063
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_187_100.jpg	Apple Braeburn	0.048398058772651985,-0.6207101582941688,2.9010052324885494,1.802194235214035,7.249530530271061,10.551182864876779,12.227774466370795,35.88602814604572,-118.56148074049561,35.22055126470268,-14.201295247051105,11.655810571159417,5.787917564615313,-47.451433463385825,-85.93120267020952,-7.589760123262974,-136.64931606555396,60.70354900148019,60.72409644537709,-29.35849701613466,39.95554854058909,9.893191224418185,8.189445263439326,-8.672678847089266,7.052040593639551,10.77560145572056,-4.644783532507231,45.75639186064387,5.080576796439677,17.239996438787596,-77.17597886527257,-58.058923333970725,-16.012857746121494,4.130463852090981,-13.293310984468308,14.06054665733331,-8.326079735849229,-10.5066687249086,15.322815882106738,6.851592975850547,-31.263536454240455,-1.4053088710797454,-11.889735569771563,-95.84802399242575,30.178794940959033,-45.30229986256531,30.24901077140376,15.927360685379282,14.91128110414587,-46.54210523111732
